year,Fxx,ABC,discarded
2020,0.35,1741807.4966346836,93629.37677464908
2020,0.4,1466074.6983060834,78536.15139251073
2020,0.5,1045062.9867400116,55692.97730831611
2020,0.6,735081.979259111,39026.30142175885
2020,0.7,494932.25170208805,26174.71168661176
2021,0.35,1963165.8355586212,111610.53606254976
2021,0.4,1652091.2957326134,93671.11542634886
2021,0.5,1177338.5851992543,66481.52044379119
2021,0.6,827957.6404784975,46614.52514701264
2021,0.7,557380.3357634972,31278.60747475081
2022,0.35,2225467.9006210845,114446.13242330577
2022,0.4,1872816.0552130607,96079.29738058028
2022,0.5,1334618.707258742,68221.05945224226
2022,0.6,938555.3502314917,47849.719263985506
2022,0.7,631829.8826175883,32115.42581090107
2023,0.35,2472757.2116385945,112870.90006997088
2023,0.4,2081106.6727378797,94764.35180195996
2023,0.5,1483252.469398659,67295.46019424539
2023,0.6,1043182.2539213252,47204.66122912546
2023,0.7,702316.5528650405,31684.63450289922
2024,0.35,2710341.888440649,117114.30776245672
2024,0.4,2281155.396269265,98321.84471354059
2024,0.5,1625933.0044455025,69816.19413729935
2024,0.6,1143582.2578284035,48970.00123162936
2024,0.7,769937.0204600357,32868.09776274022
2025,0.35,2964570.241450966,116284.25804971953
2025,0.4,2495383.5655859127,97639.99184264737
2025,0.5,1778903.8931899695,69347.95106096413
2025,0.6,1251313.557183955,48649.61428055689
2025,0.7,842541.7274166888,32657.181175119982
