year,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,no_hooks,hooks_bare,hooks_bait,hook_invalid,hooks_sablefish,discard_status_cde,discard_status
2010,603,3,60168,SEAVIEW,2010-08-02,214,345731,710,5,44,7,15,1,18,01,Retained
2016,603,1,33468,Masonic,2016-07-27,209,345631,710,4,45,11,10,0,20,01,Retained
2017,603,2,57935,Kaia,2017-07-31,212,345631,710,2,45,9,10,1,15,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-03,215,345731,710,7,44,1,36,0,7,01,Retained
2016,603,1,33468,Masonic,2016-07-30,212,345603,710,12,45,2,30,0,10,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-07,220,345731,710,1,50,6,19,1,23,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-07-30,211,345603,710,4,45,10,14,0,18,01,Retained
2016,603,1,33468,Masonic,2016-07-29,211,345603,710,10,45,1,30,0,7,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-07-30,211,345603,710,4,45,11,13,2,17,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,1,44,10,15,0,11,01,Retained
2009,603,3,60168,SEA VIEW,2009-08-02,214,345701,710,13,45,0,28,1,9,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,1,44,5,21,0,14,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,1,45,17,11,0,15,01,Retained
2009,603,3,60168,SEA VIEW,2009-08-03,215,345701,710,15,46,5,18,7,7,01,Retained
2017,603,2,57935,Kaia,2017-08-01,213,345631,710,3,45,8,8,1,15,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,45,4,30,1,9,01,Retained
2017,603,2,57935,Kaia,2017-08-01,213,345631,710,4,45,13,9,0,14,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,45,4,27,3,8,01,Retained
2007,603,2,18613,CHARLES T,2007-08-09,221,345701,710,13,45,10,16,0,9,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,42,3,26,2,6,01,Retained
2001,603,3,26017,IDA-JUNE,2001-08-14,226,345701,710,15,45,11,20,0,12,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,48,8,28,0,8,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,11,47,3,24,2,4,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,11,43,11,14,1,15,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-08,221,345731,710,4,44,4,19,0,17,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-07-30,211,345603,710,3,44,11,10,0,18,01,Retained
1998,603,1,67161,OCEAN CAPE,1998-08-15,227,345603,710,7,98,9,27,0,47,01,Retained
2013,603,2,33468,MASONIC,2013-08-02,214,345631,710,11,42,3,12,3,21,01,Retained
2016,603,1,33468,Masonic,2016-07-30,212,345603,710,12,45,3,27,0,11,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-29,210,345731,710,2,45,12,1,0,29,01,Retained
2016,603,1,33468,Masonic,2016-07-28,210,345631,710,5,45,14,7,4,19,01,Retained
2001,603,3,26017,IDA-JUNE,2001-08-12,224,345731,710,9,38,5,4,5,20,01,Retained
2016,603,2,58282,Marilyn J,2016-07-27,209,345631,710,3,44,10,18,3,7,01,Retained
2016,603,2,58282,Marilyn J,2016-07-27,209,345631,710,3,42,12,12,2,8,01,Retained
2014,603,1,33468,MASONIC,2014-08-05,217,345603,710,11,45,10,10,0,22,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,2,32,8,8,0,13,01,Retained
2014,603,1,33468,MASONIC,2014-08-05,217,345603,710,11,45,13,10,0,20,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-29,210,345731,710,3,43,8,2,0,29,01,Retained
2014,603,1,33468,MASONIC,2014-08-05,217,345603,710,12,45,4,25,0,10,01,Retained
2015,603,1,33468,MASONIC,2015-07-25,206,345631,710,3,44,11,13,0,16,01,Retained
2001,603,3,26017,IDA-JUNE,2001-08-11,223,345731,710,7,43,3,10,2,24,01,Retained
2015,603,1,33468,MASONIC,2015-07-25,206,345631,710,4,45,8,25,0,12,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-08-02,214,345631,710,11,45,12,11,0,21,01,Retained
2014,603,1,33468,MASONIC,2014-08-05,217,345603,710,13,44,10,15,0,15,01,Retained
2001,603,2,18613,CHARLES T,2001-08-12,224,345701,710,12,45,13,10,1,14,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345631,710,5,44,11,9,0,19,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345631,710,5,45,15,9,0,18,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-09,221,345701,710,14,45,12,12,1,19,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345701,710,6,45,14,17,0,10,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345701,710,6,46,12,16,1,12,01,Retained
2005,603,2,18613,CHARLES T,2005-08-01,213,345701,710,14,44,7,22,0,10,01,Retained
2013,603,3,57935,KAIA,2013-08-03,215,345701,710,15,45,12,25,0,5,01,Retained
2001,603,2,18613,CHARLES T,2001-08-12,224,345701,710,13,45,18,9,0,16,01,Retained
2e3,603,1,43565,SPIRIT,2000-08-24,237,345603,710,14,45,8,28,0,6,01,Retained
2005,603,1,33468,MASONIC,2005-07-28,209,345603,710,1,46,18,11,4,12,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345701,710,7,45,7,11,0,15,01,Retained
2001,603,2,18613,CHARLES T,2001-08-12,224,345701,710,14,45,6,25,1,8,01,Retained
2005,603,1,33468,MASONIC,2005-07-28,209,345603,710,1,45,5,11,0,24,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,11,44,13,13,11,5,01,Retained
2008,603,1,33468,MASONIC,2008-08-09,222,345603,710,5,46,5,18,0,10,01,Retained
2014,603,2,14796,MAGIA,2014-08-04,216,345701,710,8,45,11,15,1,14,01,Retained
2005,603,1,33468,MASONIC,2005-07-29,210,345603,710,2,46,8,9,0,29,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,13,43,7,12,2,12,01,Retained
2005,603,1,33468,MASONIC,2005-07-29,210,345603,710,2,44,16,1,2,16,01,Retained
2005,603,1,33468,MASONIC,2005-07-29,210,345603,710,3,47,6,12,0,24,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,13,45,13,8,0,16,01,Retained
1999,603,1,18613,CHARLES T,1999-08-16,228,345603,710,3,70,18,21,0,18,01,Retained
2014,603,2,14796,MAGIA,2014-08-04,216,345701,710,9,45,2,34,0,3,01,Retained
2014,603,2,14796,MAGIA,2014-08-06,218,345701,710,15,45,10,14,2,14,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-06,218,345701,710,14,42,7,22,0,8,01,Retained
2017,603,1,33468,Masonic,2017-07-31,212,345631,710,1,45,6,17,1,17,01,Retained
2013,603,2,33468,MASONIC,2013-07-31,212,345701,710,6,42,1,21,1,13,01,Retained
2012,603,1,33468,MASONIC,2012-07-25,207,345631,710,1,44,9,7,4,21,01,Retained
2012,603,1,33468,MASONIC,2012-07-25,207,345631,710,1,46,15,10,0,18,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-08-02,214,345631,710,12,43,13,7,0,21,01,Retained
2012,603,1,33468,MASONIC,2012-07-25,207,345631,710,1,45,21,7,0,11,01,Retained
2012,603,1,33468,MASONIC,2012-07-25,207,345631,710,1,45,16,1,0,26,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-08-02,214,345631,710,14,46,18,8,2,13,01,Retained
2001,603,1,20190,SYLVIA,2001-08-09,221,345631,710,3,43,25,0,1,14,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,6,45,2,23,0,18,01,Retained
2012,603,1,33468,MASONIC,2012-07-25,207,345631,710,2,46,25,0,0,15,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-08-02,214,345631,710,14,45,16,2,9,15,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,7,45,19,8,0,9,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-25,206,345731,710,2,44,12,7,1,21,01,Retained
2012,603,1,33468,MASONIC,2012-07-26,208,345631,710,3,45,18,12,0,13,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,7,44,12,15,0,13,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,7,45,8,15,0,17,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-14,226,345731,710,2,44,11,10,3,14,01,Retained
2003,603,2,26017,IDA JUNE,2003-08-08,220,345631,710,14,45,27,1,0,12,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,7,45,9,11,0,19,01,Retained
2014,603,1,33468,MASONIC,2014-08-04,216,345603,710,8,45,6,21,0,16,01,Retained
2014,603,1,33468,MASONIC,2014-08-04,216,345603,710,8,43,14,13,0,14,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-30,211,345731,710,6,45,4,14,0,24,01,Retained
2009,603,2,26017,IDA-JUNE,2009-07-30,211,345701,710,4,45,6,26,0,10,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-09,222,345731,710,9,45,3,35,0,7,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-15,227,345731,710,4,45,9,16,8,8,01,Retained
2009,603,2,26017,IDA-JUNE,2009-07-30,211,345701,710,4,44,6,13,2,17,01,Retained
2017,603,2,57935,Kaia,2017-08-03,215,345701,710,9,45,6,26,2,9,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,10,46,8,27,3,6,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,10,45,9,21,9,3,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-15,227,345731,710,5,27,4,15,0,4,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-04,216,345731,710,12,45,4,28,4,7,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-05,217,345701,710,13,45,5,21,0,16,01,Retained
2009,603,2,26017,IDA-JUNE,2009-07-31,212,345701,710,6,46,11,21,0,8,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-16,228,345731,710,6,45,4,25,0,15,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-16,228,345731,710,6,45,7,19,1,14,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-06,218,345731,710,12,42,1,29,0,10,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-16,228,345731,710,7,46,7,24,2,13,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-06,218,345701,710,15,43,13,12,0,16,01,Retained
2015,603,2,14796,MAGIA,2015-07-28,209,345701,710,12,45,12,18,1,11,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-16,228,345731,710,8,45,4,24,0,17,01,Retained
2015,603,2,14796,MAGIA,2015-07-28,209,345701,710,13,48,21,8,2,9,01,Retained
2017,603,2,57935,Kaia,2017-08-03,215,345701,710,10,45,6,14,1,4,01,Retained
2015,603,2,14796,MAGIA,2015-07-29,210,345701,710,14,46,8,26,1,5,01,Retained
2015,603,2,14796,MAGIA,2015-07-29,210,345701,710,14,43,7,18,1,7,01,Retained
2015,603,2,14796,MAGIA,2015-07-29,210,345701,710,15,46,7,28,0,8,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-28,209,345631,710,10,46,11,11,0,17,01,Retained
2004,603,1,33468,MASONIC,2004-08-05,218,345603,710,1,45,13,17,0,12,01,Retained
2009,603,2,26017,IDA-JUNE,2009-08-01,213,345701,710,9,44,5,14,0,19,01,Retained
2014,603,1,33468,MASONIC,2014-08-04,216,345603,710,8,43,8,18,0,15,01,Retained
2014,603,1,33468,MASONIC,2014-08-04,216,345603,710,9,46,3,22,4,12,01,Retained
2004,603,1,33468,MASONIC,2004-08-06,219,345603,710,2,45,23,0,1,20,01,Retained
2014,603,1,33468,MASONIC,2014-08-04,216,345603,710,9,45,0,27,0,15,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,4,46,8,17,6,9,01,Retained
2009,603,2,26017,IDA-JUNE,2009-08-01,213,345631,710,11,45,11,12,0,15,01,Retained
2007,603,2,18613,CHARLES T,2007-08-07,219,345701,710,7,44,20,4,3,13,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,4,43,0,24,0,12,01,Retained
2009,603,2,26017,IDA-JUNE,2009-08-01,213,345631,710,11,45,7,12,0,21,01,Retained
2002,603,3,55900,ARCHANGEL,2002-08-18,230,345701,710,12,45,1,30,0,10,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,6,50,5,30,1,13,01,Retained
2001,603,1,20190,SYLVIA,2001-08-13,225,345603,710,14,45,8,25,3,7,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,6,46,2,33,0,6,01,Retained
2001,603,1,20190,SYLVIA,2001-08-13,225,345603,710,14,45,6,26,1,11,01,Retained
2009,603,2,26017,IDA-JUNE,2009-08-02,214,345631,710,13,46,4,23,0,17,01,Retained
2009,603,2,26017,IDA-JUNE,2009-08-02,214,345631,710,13,45,8,21,1,13,01,Retained
2001,603,1,20190,SYLVIA,2001-08-13,225,345603,710,14,44,17,14,0,13,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,7,45,3,25,4,10,01,Retained
1999,603,1,18613,CHARLES T,1999-08-20,232,345631,710,16,72,13,30,6,17,01,Retained
2004,603,1,33468,MASONIC,2004-08-09,222,345631,710,13,45,3,22,0,20,01,Retained
2006,603,2,18613,CHARLES T,2006-08-04,216,345701,710,8,41,8,16,1,11,01,Retained
2006,603,2,18613,CHARLES T,2006-08-05,217,345701,710,9,46,2,25,0,16,01,Retained
2004,603,1,33468,MASONIC,2004-08-09,222,345631,710,13,45,9,22,2,11,01,Retained
2012,603,1,33468,MASONIC,2012-07-29,211,345603,710,12,45,12,8,0,22,01,Retained
2017,603,1,33468,Masonic,2017-08-03,215,345603,710,9,45,6,30,0,6,01,Retained
2012,603,1,33468,MASONIC,2012-07-29,211,345603,710,12,43,5,14,1,18,01,Retained
2007,603,2,18613,CHARLES T,2007-08-05,217,345631,710,1,45,15,6,0,20,01,Retained
2001,603,2,18613,CHARLES T,2001-08-09,221,345631,710,4,47,21,9,4,10,01,Retained
2001,603,2,18613,CHARLES T,2001-08-09,221,345631,710,4,43,18,8,3,12,01,Retained
2012,603,1,33468,MASONIC,2012-07-29,211,345603,710,13,45,4,23,0,13,01,Retained
2001,603,2,18613,CHARLES T,2001-08-09,221,345631,710,4,45,4,31,0,9,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-28,209,345603,710,7,43,7,13,0,8,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-28,209,345731,710,1,41,6,14,1,20,01,Retained
2012,603,1,33468,MASONIC,2012-07-29,211,345603,710,13,45,9,21,0,10,01,Retained
1997,603,1,69054,KRUZOF,1997-08-08,220,345603,710,4,120,25,51,0,39,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-28,209,345603,710,7,46,5,17,3,15,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-28,209,345631,710,9,45,6,6,0,27,01,Retained
2012,603,1,33468,MASONIC,2012-07-30,212,345603,710,14,43,4,8,0,25,01,Retained
2017,603,3,14796,Magia,2017-08-03,215,345731,710,9,45,9,14,3,16,01,Retained
2012,603,3,57935,KAIA,2012-07-30,212,345701,710,15,45,7,13,0,17,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-26,207,345731,710,4,45,4,17,0,20,01,Retained
2013,603,2,33468,MASONIC,2013-08-02,214,345631,710,13,45,5,19,3,11,01,Retained
2013,603,2,33468,MASONIC,2013-08-02,214,345631,710,13,44,5,8,5,16,01,Retained
2007,603,2,18613,CHARLES T,2007-08-06,218,345631,710,5,45,13,11,0,19,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-29,210,345631,710,11,45,4,14,0,16,01,Retained
1997,603,1,69054,KRUZOF,1997-08-09,221,345603,710,7,128,56,36,0,23,01,Retained
2004,603,2,18613,CHARLES T,2004-08-09,222,345701,710,14,45,8,28,2,6,01,Retained
2014,603,3,57935,KAIA,2014-08-05,217,345701,710,14,49,11,23,2,11,01,Retained
2013,603,2,33468,MASONIC,2013-08-03,215,345631,710,15,45,7,15,3,16,01,Retained
2017,603,3,14796,Magia,2017-07-31,212,345731,710,1,45,3,26,0,10,01,Retained
2013,603,1,58282,COBRA,2013-07-30,211,345631,710,1,45,4,18,0,17,01,Retained
2013,603,1,58282,COBRA,2013-07-30,211,345631,710,1,43,4,23,4,7,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-29,210,345631,710,13,44,21,5,0,12,01,Retained
2004,603,2,18613,CHARLES T,2004-08-09,222,345701,710,14,45,11,18,0,9,01,Retained
2013,603,1,58282,COBRA,2013-07-30,211,345631,710,2,45,11,11,0,18,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-01,213,345701,710,1,45,6,22,0,15,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-01,213,345701,710,1,45,9,22,0,12,01,Retained
2014,603,3,57935,KAIA,2014-08-01,213,345731,710,1,44,8,11,3,13,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-06,218,345701,710,14,44,12,21,0,9,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-01,213,345701,710,2,44,3,10,2,15,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-01,213,345701,710,2,44,3,24,0,12,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-02,214,345731,710,6,42,5,21,0,14,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-01,213,345701,710,2,44,8,17,3,14,01,Retained
2016,603,3,57935,Kaia,2016-07-30,212,345701,710,13,45,23,5,0,4,01,Retained
2016,603,3,57935,Kaia,2016-07-29,211,345731,710,9,44,15,20,2,7,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,4,44,16,10,2,4,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-29,210,345631,710,12,45,13,5,2,18,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-30,211,345731,710,6,35,4,0,6,23,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-30,211,345731,710,6,43,10,0,9,21,01,Retained
2004,603,1,33468,MASONIC,2004-08-08,221,345631,710,11,45,11,15,1,15,01,Retained
2011,603,1,59497,PACIFIC DAWN,2011-07-30,211,345631,710,14,44,12,4,1,16,01,Retained
2018,603,2,57935,kaia,2018-08-05,217,345631,710,1,45,20,5,1,15,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-09,222,345731,710,9,46,5,27,0,13,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,4,44,15,14,1,3,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-01,213,345731,710,1,45,9,9,1,25,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,4,44,6,26,0,3,01,Retained
1997,603,1,69054,KRUZOF,1997-08-11,223,345631,710,12,129,64,38,0,25,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,4,45,4,27,0,1,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-01,213,345731,710,2,45,11,7,15,11,01,Retained
2006,603,2,18613,CHARLES T,2006-08-07,219,345701,710,15,46,9,17,5,14,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-01,213,345731,710,2,45,3,20,0,15,01,Retained
2018,603,2,57935,kaia,2018-08-06,218,345631,710,4,46,24,1,1,12,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-10,223,345731,710,11,46,11,20,5,9,01,Retained
2010,603,3,60168,SEAVIEW,2010-08-01,213,345731,710,2,45,8,11,0,19,01,Retained
2006,603,1,33468,MASONIC,2006-08-03,215,345603,710,5,43,2,14,0,16,01,Retained
2016,603,3,57935,Kaia,2016-07-26,208,345731,710,1,44,14,9,1,11,01,Retained
2016,603,3,57935,Kaia,2016-07-26,208,345731,710,1,45,11,19,0,11,01,Retained
2005,603,2,18613,CHARLES T,2005-07-30,211,345701,710,6,45,18,14,1,10,01,Retained
2008,603,2,18613,CHARLES T,2008-08-07,220,345631,710,1,45,19,8,0,17,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,5,45,12,10,8,3,01,Retained
2006,603,1,33468,MASONIC,2006-08-06,218,345631,710,13,49,12,9,0,23,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,5,45,18,12,2,9,01,Retained
2008,603,2,18613,CHARLES T,2008-08-07,220,345631,710,2,46,23,1,4,16,01,Retained
2016,603,3,57935,Kaia,2016-07-27,209,345731,710,5,45,8,11,2,17,01,Retained
2016,603,3,57935,Kaia,2016-07-28,210,345731,710,6,45,7,31,2,2,01,Retained
2008,603,2,18613,CHARLES T,2008-08-07,220,345631,710,3,44,15,8,1,12,01,Retained
2006,603,1,33468,MASONIC,2006-08-04,216,345603,710,7,45,9,6,0,26,01,Retained
2008,603,2,18613,CHARLES T,2008-08-07,220,345631,710,3,45,10,10,1,18,01,Retained
2008,603,2,18613,CHARLES T,2008-08-08,221,345631,710,5,46,19,7,1,18,01,Retained
2005,603,2,18613,CHARLES T,2005-07-30,211,345701,710,7,45,17,13,0,12,01,Retained
2008,603,2,18613,CHARLES T,2008-08-08,221,345631,710,5,45,18,5,0,19,01,Retained
2005,603,2,18613,CHARLES T,2005-07-30,211,345701,710,7,45,19,12,3,10,01,Retained
2002,603,2,18613,CHARLES T,2002-08-15,227,345631,710,3,44,18,8,2,14,01,Retained
2018,603,1,33468,Masonic,2018-08-08,220,345603,710,11,45,20,8,6,9,01,Retained
2005,603,2,18613,CHARLES T,2005-07-30,211,345701,710,8,45,11,12,0,19,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-26,208,345631,710,2,44,8,4,0,25,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-11,224,345701,710,14,44,7,15,2,18,01,Retained
2008,603,1,33468,MASONIC,2008-08-09,222,345603,710,7,43,7,14,0,19,01,Retained
2007,603,2,18613,CHARLES T,2007-08-08,220,345701,710,10,45,13,16,0,13,01,Retained
2010,603,1,33468,MASONIC,2010-08-01,213,345631,710,2,45,17,2,0,15,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-26,208,345631,710,4,41,8,15,3,12,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-26,208,345631,710,4,44,3,25,0,13,01,Retained
2001,603,3,26017,IDA-JUNE,2001-08-14,226,345701,710,15,44,8,13,1,20,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-26,208,345701,710,5,46,15,2,0,21,01,Retained
2007,603,2,18613,CHARLES T,2007-08-09,221,345701,710,12,45,14,11,7,12,01,Retained
2007,603,1,33468,MASONIC,2007-08-08,220,345631,710,11,43,10,3,12,12,01,Retained
2002,603,1,26017,IDA JUNE,2002-08-16,228,345603,710,9,44,6,23,0,10,01,Retained
2010,603,1,33468,MASONIC,2010-08-05,217,345603,710,14,45,2,13,0,21,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-27,209,345631,710,6,46,12,7,0,22,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,14,44,7,16,0,18,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-27,209,345631,710,6,46,11,3,0,20,01,Retained
2014,603,3,57935,KAIA,2014-08-01,213,345731,710,2,46,4,20,7,8,01,Retained
2010,603,1,33468,MASONIC,2010-08-05,217,345603,710,14,45,6,22,7,9,01,Retained
2001,603,3,26017,IDA-JUNE,2001-08-11,223,345731,710,6,43,13,4,3,20,01,Retained
2010,603,1,33468,MASONIC,2010-08-01,213,345631,710,1,45,10,15,0,14,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,8,45,9,24,0,12,01,Retained
2014,603,3,57935,KAIA,2014-08-01,213,345731,710,3,46,9,24,0,4,01,Retained
2005,603,1,33468,MASONIC,2005-07-29,210,345603,710,5,44,12,4,0,22,01,Retained
2010,603,1,33468,MASONIC,2010-08-05,217,345603,710,13,44,14,1,0,27,01,Retained
2005,603,1,33468,MASONIC,2005-07-29,210,345603,710,5,45,10,8,11,14,01,Retained
2014,603,3,57935,KAIA,2014-08-01,213,345731,710,3,43,22,2,2,9,01,Retained
1998,603,2,18613,CHARLES T,1998-08-13,225,345631,710,1,75,31,19,0,14,01,Retained
2002,603,2,18613,CHARLES T,2002-08-15,227,345631,710,4,45,15,8,5,14,01,Retained
2002,603,2,18613,CHARLES T,2002-08-15,227,345631,710,5,45,10,13,0,20,01,Retained
2005,603,1,33468,MASONIC,2005-07-30,211,345603,710,6,43,4,14,3,18,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-26,207,345731,710,6,45,4,23,0,16,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-02,214,345701,710,3,45,16,13,1,9,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-02,214,345701,710,3,45,7,22,0,12,01,Retained
2014,603,2,14796,MAGIA,2014-08-04,216,345701,710,8,46,23,9,5,7,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-26,207,345731,710,6,45,0,37,0,7,01,Retained
2013,603,1,58282,COBRA,2013-08-01,213,345631,710,4,44,6,27,0,9,01,Retained
2013,603,1,58282,COBRA,2013-08-01,213,345631,710,4,44,11,9,22,1,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-02,214,345701,710,4,45,2,27,0,9,01,Retained
1998,603,2,18613,CHARLES T,1998-08-14,226,345631,710,4,76,44,6,1,20,01,Retained
2013,603,1,58282,COBRA,2013-08-01,213,345631,710,5,45,2,28,5,7,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,10,45,6,28,1,9,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,8,87,19,19,0,40,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,8,45,10,10,0,15,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,8,45,13,11,1,17,01,Retained
2016,603,3,57935,Kaia,2016-07-29,211,345731,710,10,45,10,19,1,10,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,8,43,13,9,3,9,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,9,45,11,15,1,7,01,Retained
2016,603,3,57935,Kaia,2016-07-30,212,345731,710,11,45,16,19,1,7,01,Retained
2008,603,1,33468,MASONIC,2008-08-10,223,345631,710,9,45,5,23,0,11,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-30,211,345731,710,8,45,7,17,0,21,01,Retained
2016,603,3,57935,Kaia,2016-07-30,212,345731,710,11,44,17,14,0,7,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,12,44,8,24,1,9,01,Retained
2016,603,3,57935,Kaia,2016-07-30,212,345731,710,11,45,4,21,2,9,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-31,212,345731,710,9,45,5,10,2,28,01,Retained
2016,603,3,57935,Kaia,2016-07-30,212,345701,710,13,45,13,10,0,8,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,14,45,5,15,0,23,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,12,46,7,13,4,16,01,Retained
2005,603,1,33468,MASONIC,2005-07-30,211,345631,710,8,39,5,10,0,19,01,Retained
2016,603,3,57935,Kaia,2016-07-31,213,345701,710,14,45,9,14,5,7,01,Retained
2002,603,2,18613,CHARLES T,2002-08-18,230,345701,710,13,45,0,13,25,5,01,Retained
